origin,anchor,target,forecast,actual,ape
2015-02-01,2014-11-01,2016-02-01,176.21895931874386,175.259,0.547737530594075
2015-03-01,2014-12-01,2016-03-01,175.86032097809868,176.58,0.407565421849206
2015-04-01,2015-01-01,2016-04-01,175.2313432413807,178.474,1.816879074049604
2015-05-01,2015-02-01,2016-05-01,175.44184491950222,180.322,2.7063558969497823
2015-06-01,2015-03-01,2016-06-01,177.0961496182728,181.896,2.6387883085538975
2015-07-01,2015-04-01,2016-07-01,179.12835877094042,183.0,2.1156509448412986
2015-08-01,2015-05-01,2016-08-01,181.23536409070977,183.638,1.3083544306136201
2015-09-01,2015-06-01,2016-09-01,182.92163058639076,183.925,0.5455318274346875
2015-10-01,2015-07-01,2016-10-01,184.1232285090762,183.993,0.07077905630986184
2015-11-01,2015-08-01,2016-11-01,184.73189753422722,184.202,0.2876719765405464
2015-12-01,2015-09-01,2016-12-01,185.26915217904127,184.374,0.48550889986726736
2016-01-01,2015-10-01,2017-01-01,185.73811557097528,184.628,0.601271514058158
2016-02-01,2015-11-01,2017-02-01,186.30704252800047,184.995,0.7092313457122955
2016-03-01,2015-12-01,2017-03-01,186.5207939098614,186.504,0.009004584277766486
2016-04-01,2016-01-01,2017-04-01,186.64238402528898,188.518,0.9949267309811395
2016-05-01,2016-02-01,2017-05-01,186.7057395554037,190.513,1.9984255376778985
2016-06-01,2016-03-01,2017-06-01,187.8287693648581,192.24,2.2946476462452763
2016-07-01,2016-04-01,2017-07-01,189.72712061408996,193.484,1.941700288349452
2016-08-01,2016-05-01,2017-08-01,191.52262082808235,194.318,1.4385590485274957
2016-09-01,2016-06-01,2017-09-01,193.05921870164136,194.786,0.8865017497965179
2016-10-01,2016-07-01,2017-10-01,194.24576304328673,195.049,0.41181290686610933
2016-11-01,2016-08-01,2017-11-01,195.15879874483443,195.412,0.1295730329588655
2016-12-01,2016-09-01,2017-12-01,195.69887305853933,195.808,0.05573160517479296
2017-01-01,2016-10-01,2018-01-01,195.85610957125877,196.08,0.11418320519239208
2017-02-01,2016-11-01,2018-02-01,196.2294933366506,196.871,0.32585127487005083
2017-03-01,2016-12-01,2018-03-01,196.6799090877772,198.538,0.9358867885356056
2017-04-01,2017-01-01,2018-04-01,197.39576854967456,200.576,1.5855493430547207
2017-05-01,2017-02-01,2018-05-01,197.92906225092264,202.413,2.215241980049389
2017-06-01,2017-03-01,2018-06-01,199.6969575997262,204.006,2.1122135624804153
2017-07-01,2017-04-01,2018-07-01,201.87156814226176,204.915,1.485216727783826
2017-08-01,2017-05-01,2018-08-01,204.06545471251982,205.293,0.5979479512112849
2017-09-01,2017-06-01,2018-09-01,206.0010903509157,205.341,0.3214605709116449
2017-10-01,2017-07-01,2018-10-01,207.43761789117596,205.338,1.0225179417233865
2017-11-01,2017-08-01,2018-11-01,208.54564688968608,205.076,1.6918834430582268
