origin,anchor,target,forecast,actual,ape
2015-02-01,2014-11-01,2016-02-01,176.84514191221535,175.61,0.703343723145231
2015-03-01,2014-12-01,2016-03-01,176.51337075858177,176.91,0.22419831632933407
2015-04-01,2015-01-01,2016-04-01,176.02228032039824,178.69,1.4929317139189433
2015-05-01,2015-02-01,2016-05-01,175.6529410436398,180.7,2.7930597434201383
2015-06-01,2015-03-01,2016-06-01,176.77023914025827,182.42,3.0971170155365195
2015-07-01,2015-04-01,2016-07-01,179.04690446440097,183.57,2.4639622681260698
2015-08-01,2015-05-01,2016-08-01,181.57879796742773,184.42,1.5406149184319788
2015-09-01,2015-06-01,2016-09-01,183.65090980952363,184.8,0.6218020511235854
2015-10-01,2015-07-01,2016-10-01,185.42874626460934,185.06,0.19925768108145586
2015-11-01,2015-08-01,2016-11-01,185.7616072371086,185.23,0.28699845441267735
2015-12-01,2015-09-01,2016-12-01,186.2439521132287,185.54,0.37940719695413117
2016-01-01,2015-10-01,2017-01-01,187.0672438402595,185.51,0.8394392972128202
2016-02-01,2015-11-01,2017-02-01,187.53380539903262,185.56,1.0637019826646978
2016-03-01,2015-12-01,2017-03-01,187.64284815572674,186.95,0.370606127695507
2016-04-01,2016-01-01,2017-04-01,187.4138101653697,188.5,0.5762280289815859
2016-05-01,2016-02-01,2017-05-01,187.3077877960103,190.61,1.7324443649282362
2016-06-01,2016-03-01,2017-06-01,188.37847900594826,192.6,2.1918592907849064
2016-07-01,2016-04-01,2017-07-01,189.99817628914275,194.1,2.1132528134246504
2016-08-01,2016-05-01,2017-08-01,192.16848402439408,195.05,1.4773216998748708
2016-09-01,2016-06-01,2017-09-01,194.06382821621096,195.51,0.7396919767730685
2016-10-01,2016-07-01,2017-10-01,195.3493736283603,195.63,0.14344751400076594
2016-11-01,2016-08-01,2017-11-01,196.75662062050282,195.94099999999997,0.41625827187920916
2016-12-01,2016-09-01,2017-12-01,197.500795526759,196.232,0.6465793177254437
2017-01-01,2016-10-01,2018-01-01,198.12655079286054,196.312,0.9243198545481325
2017-02-01,2016-11-01,2018-02-01,198.38061503539728,197.013,0.6941750216469363
2017-03-01,2016-12-01,2018-03-01,199.1994184987914,198.938,0.13140702067549406
2017-04-01,2017-01-01,2018-04-01,199.21218824303497,200.856,0.8184031131581938
2017-05-01,2017-02-01,2018-05-01,199.00645449817068,202.951,1.9435950065923846
