origin,anchor,target,forecast,actual,ape
2005-04-01,2005-02-01,2006-04-01,2718.3251863084297,1821.0,49.276506661638095
2005-05-01,2005-03-01,2006-05-01,1718.9822919374476,1942.0,11.483919055744202
2005-06-01,2005-04-01,2006-06-01,2130.7927381245813,1802.0,18.24598990702449
2005-07-01,2005-05-01,2006-07-01,2077.570029121197,1737.0,19.606794998341794
2005-08-01,2005-06-01,2006-08-01,2388.107841328791,1650.0,44.733808565381274
2005-09-01,2005-07-01,2006-09-01,2116.376187475069,1720.0,23.04512717878308
2005-10-01,2005-08-01,2006-10-01,2180.987281379217,1491.0,46.27681296976641
2005-11-01,2005-09-01,2006-11-01,2478.4305049872696,1570.0,57.86181560428469
2005-12-01,2005-10-01,2006-12-01,2056.8632169837974,1649.0,24.733973134250906
2006-01-01,2005-11-01,2007-01-01,2668.356056793382,1409.0,89.3794220577276
2006-02-01,2005-12-01,2007-02-01,1939.4241813942324,1480.0,31.042174418529218
2006-03-01,2006-01-01,2007-03-01,2433.3422652801282,1495.0,62.76536891505874
2006-04-01,2006-02-01,2007-04-01,2020.758204937602,1490.0,35.62135603608066
2006-05-01,2006-03-01,2007-05-01,2098.9986484774518,1415.0,48.33912710087998
2006-06-01,2006-04-01,2007-06-01,1576.088349810455,1448.0,8.84588051177175
2006-07-01,2006-05-01,2007-07-01,1849.4565097182697,1354.0,36.592061279045026
2006-08-01,2006-06-01,2007-08-01,1534.5925337615347,1330.0,15.382897275303362
2006-09-01,2006-07-01,2007-09-01,1428.4523597694117,1183.0,20.748297529113415
2006-10-01,2006-08-01,2007-10-01,1248.821922445405,1264.0,1.2007972748888365
2006-11-01,2006-09-01,2007-11-01,1325.046612575614,1197.0,10.697294283677032
2006-12-01,2006-10-01,2007-12-01,1019.6743518007484,1037.0,1.6707471744697826
2007-01-01,2006-11-01,2008-01-01,1089.7123219254413,1084.0,0.526966967291633
2007-02-01,2006-12-01,2008-02-01,1321.1903945855697,1103.0,19.781540760251108
2007-03-01,2007-01-01,2008-03-01,806.5063851292539,1005.0,19.75060844485036
2007-04-01,2007-02-01,2008-04-01,973.6755559042145,1013.0,3.8819786866520682
2007-05-01,2007-03-01,2008-05-01,1084.1829717410926,973.0,11.426821350574782
2007-06-01,2007-04-01,2008-06-01,1179.0764851728811,1046.0,12.722417320543128
2007-07-01,2007-05-01,2008-07-01,978.0210221464612,923.0,5.961107491490918
2007-08-01,2007-06-01,2008-08-01,1121.8926418204894,844.0,32.9256684621433
2007-09-01,2007-07-01,2008-09-01,1012.5286436195814,820.0,23.47910288043676
2007-10-01,2007-08-01,2008-10-01,1034.2224333806412,777.0,33.1045602806488
2007-11-01,2007-09-01,2008-11-01,764.4523592271634,652.0,17.24729435999438
2007-12-01,2007-10-01,2008-12-01,1042.4648241757816,560.0,86.15443288853243
2008-01-01,2007-11-01,2009-01-01,872.276953443834,490.0,78.01570478445592
2008-02-01,2007-12-01,2009-02-01,603.6194249356306,582.0,3.714677823991513
2008-03-01,2008-01-01,2009-03-01,798.3021265134954,505.0,58.07962901257335
2008-04-01,2008-02-01,2009-04-01,782.723324562761,478.0,63.74964949011736
2008-05-01,2008-03-01,2009-05-01,632.3318766536203,540.0,17.098495676596347
2008-06-01,2008-04-01,2009-06-01,645.8076003262163,585.0,10.394461594225007
2008-07-01,2008-05-01,2009-07-01,628.5820486656688,594.0,5.821893714759061
2008-08-01,2008-06-01,2009-08-01,715.7400637452623,586.0,22.13994261864545
2008-09-01,2008-07-01,2009-09-01,590.2670996365036,585.0,0.9003589122228453
2008-10-01,2008-08-01,2009-10-01,496.495198895147,534.0,7.023370993418168
2008-11-01,2008-09-01,2009-11-01,534.7052867637581,588.0,9.06372674085747
2008-12-01,2008-10-01,2009-12-01,440.42701956998656,581.0,24.19500523752383
2009-01-01,2008-11-01,2010-01-01,320.9420447962054,614.0,47.72930866511313
2009-02-01,2008-12-01,2010-02-01,272.8970510852355,604.0,54.81836902562326
2009-03-01,2009-01-01,2010-03-01,194.03973707926076,636.0,69.49060737747472
2009-04-01,2009-02-01,2010-04-01,276.05463001171614,687.0,59.817375544146124
2009-05-01,2009-03-01,2010-05-01,226.25815803002362,583.0,61.19071045797193
2009-06-01,2009-04-01,2010-06-01,199.01360026737683,536.0,62.870596965041635
2009-07-01,2009-05-01,2010-07-01,271.67822594527377,546.0,50.24208316020628
2009-08-01,2009-06-01,2010-08-01,296.9733043066173,599.0,50.42181898053133
2009-09-01,2009-07-01,2010-09-01,355.19647427188903,594.0,40.20261375894124
2009-10-01,2009-08-01,2010-10-01,382.864688767066,543.0,29.490849214168325
2009-11-01,2009-09-01,2010-11-01,394.5071530395967,545.0,27.6133664147529
2009-12-01,2009-10-01,2010-12-01,344.7584093519242,539.0,36.03740086235173
2010-01-01,2009-11-01,2011-01-01,521.2291287440707,630.0,17.265217659671308
2010-02-01,2009-12-01,2011-02-01,606.497370086842,517.0,17.310903304998455
2010-03-01,2010-01-01,2011-03-01,798.8576113910086,600.0,33.14293523183477
2010-04-01,2010-02-01,2011-04-01,630.7199259163058,554.0,13.848362078755558
2010-05-01,2010-03-01,2011-05-01,832.3713869328492,561.0,48.37279624471465
2010-06-01,2010-04-01,2011-06-01,1048.9152129442277,608.0,72.51894949740588
2010-07-01,2010-05-01,2011-07-01,637.5131521275141,623.0,2.3295589289749765
2010-08-01,2010-06-01,2011-08-01,483.99610567081015,585.0,17.265622962254675
2010-09-01,2010-07-01,2011-09-01,494.87996663887793,650.0,23.8646205170957
2010-10-01,2010-08-01,2011-10-01,614.5316142189174,610.0,0.7428875768717068
2010-11-01,2010-09-01,2011-11-01,604.6751490959349,711.0,14.954268762878353
2010-12-01,2010-10-01,2011-12-01,553.6918923637256,694.0,20.21730657583204
2011-01-01,2010-11-01,2012-01-01,498.79130536798806,723.0,31.010884458092935
2011-02-01,2010-12-01,2012-02-01,493.82169989124276,704.0,29.85487217453938
2011-03-01,2011-01-01,2012-03-01,649.1943888955866,695.0,6.590735410706965
2011-04-01,2011-02-01,2012-04-01,431.20760826751604,753.0,42.73471337748791
2011-05-01,2011-03-01,2012-05-01,560.5672751869168,708.0,20.82383118828858
2011-06-01,2011-04-01,2012-06-01,431.01094333924505,757.0,43.06328357473645
2011-07-01,2011-05-01,2012-07-01,536.3803823240899,740.0,27.516164550798667
2011-08-01,2011-06-01,2012-08-01,704.3126690102694,754.0,6.589831696250748
2011-09-01,2011-07-01,2012-09-01,726.6623928294928,847.0,14.207509701358587
2011-10-01,2011-08-01,2012-10-01,569.0796866748998,915.0,37.80549872405467
2011-11-01,2011-09-01,2012-11-01,722.0402705130343,833.0,13.320495736730573
2011-12-01,2011-10-01,2012-12-01,698.6851423359725,976.0,28.4134075475438
2012-01-01,2011-11-01,2013-01-01,969.5901962476781,888.0,9.188085163026818
2012-02-01,2011-12-01,2013-02-01,932.020131745479,962.0,3.116410421467876
2012-03-01,2012-01-01,2013-03-01,848.9895339458091,1010.0,15.941630302395144
2012-04-01,2012-02-01,2013-04-01,1009.2570563806089,835.0,20.869108548575916
2012-05-01,2012-03-01,2013-05-01,825.0063370997519,930.0,11.289641172069684
2012-06-01,2012-04-01,2013-06-01,1077.1951505539964,839.0,28.390363594040096
2012-07-01,2012-05-01,2013-07-01,928.856704515358,880.0,5.551898240381596
2012-08-01,2012-06-01,2013-08-01,977.5828254165775,917.0,6.60663308795829
2012-09-01,2012-07-01,2013-09-01,904.5501951206535,850.0,6.4176700141945275
2012-10-01,2012-08-01,2013-10-01,1013.8088365306776,925.0,9.600955300613792
2012-11-01,2012-09-01,2013-11-01,1153.4934682413216,1100.0,4.8630425673928706
2012-12-01,2012-10-01,2013-12-01,1468.4558586739524,1002.0,46.552480905584076
2013-01-01,2012-11-01,2014-01-01,1002.0351791136627,888.0,12.84179944973679
2013-02-01,2012-12-01,2014-02-01,1452.8537189366768,944.0,53.9039956500717
2013-03-01,2013-01-01,2014-03-01,1128.6693866883327,970.0,16.357668730755947
2013-04-01,2013-02-01,2014-04-01,1384.7707677288975,1043.0,32.76805059720972
2013-05-01,2013-03-01,2014-05-01,1562.1187234125157,1007.0,55.12599040839282
2013-06-01,2013-04-01,2014-06-01,942.0194966193372,911.0,3.4049941404321897
2013-07-01,2013-05-01,2014-07-01,1278.4220555703798,1085.0,17.826917564090305
2013-08-01,2013-06-01,2014-08-01,945.9591645367955,984.0,3.8659385633337937
2013-09-01,2013-07-01,2014-09-01,1077.148175023131,1023.0,5.293076737353958
2013-10-01,2013-08-01,2014-10-01,1152.2153511487347,1074.0,7.28262114978908
2013-11-01,2013-08-01,2014-11-01,1171.1615962321405,1001.0,16.9991604627513
2013-12-01,2013-08-01,2014-12-01,1190.4193804756544,1073.0,10.943092309007866
2014-01-01,2013-11-01,2015-01-01,1521.4755682113541,1085.0,40.2281629687884
2014-02-01,2013-12-01,2015-02-01,1033.2100202220738,886.0,16.61512643589998
2014-03-01,2014-01-01,2015-03-01,888.0,960.0,7.5
2014-04-01,2014-02-01,2015-04-01,923.4252314485445,1190.0,22.401241054744155
2014-05-01,2014-03-01,2015-05-01,925.3310913872355,1079.0,14.241789491451765
2014-06-01,2014-04-01,2015-06-01,1352.015841349852,1205.0,12.200484759323823
2014-07-01,2014-05-01,2015-07-01,1104.9274073099139,1146.0,3.5839958717352656
2014-08-01,2014-06-01,2015-08-01,1002.845882726994,1130.0,11.252576749823543
2014-09-01,2014-07-01,2015-09-01,1385.2707001482959,1224.0,13.175710796429401
2014-10-01,2014-08-01,2015-10-01,1068.378537567659,1058.0,0.9809581821983833
2014-11-01,2014-09-01,2015-11-01,1269.8189181636383,1172.0,8.346324075395756
2014-12-01,2014-10-01,2015-12-01,1278.4308872064998,1146.0,11.555923840008713
2015-01-01,2014-11-01,2016-01-01,896.7038516104508,1092.0,17.884262673035643
2015-02-01,2014-12-01,2016-02-01,1162.2165507832353,1225.0,5.1251795278991565
2015-03-01,2015-01-01,2016-03-01,1370.7217562200615,1111.0,23.377295789384473
2015-04-01,2015-02-01,2016-04-01,822.8217013858779,1163.0,29.250068668454183
2015-05-01,2015-03-01,2016-05-01,948.4635563695671,1148.0,17.38122331275548
2015-06-01,2015-04-01,2016-06-01,1387.884705471681,1203.0,15.368637196315957
2015-07-01,2015-05-01,2016-07-01,1169.5319245073047,1239.0,5.606785754051278
2015-08-01,2015-06-01,2016-08-01,1669.9385684368028,1171.0,42.607905075730386
2015-09-01,2015-07-01,2016-09-01,1221.514547858921,1068.0,14.374021335104972
2015-10-01,2015-08-01,2016-10-01,1327.9315195942831,1313.0,1.1372063666628442
2015-11-01,2015-09-01,2016-11-01,1508.9383600352446,1140.0,32.36301403817935
2015-12-01,2015-10-01,2016-12-01,1039.6343453736267,1252.0,16.96211298932694
2016-01-01,2015-11-01,2017-01-01,1408.759101599223,1190.0,18.383117781447307
2016-02-01,2015-12-01,2017-02-01,1237.4671034589098,1271.0,2.638308146427236
2016-03-01,2016-01-01,2017-03-01,1100.2237659506504,1190.0,7.544221348684838
2016-04-01,2016-02-01,2017-04-01,1787.6761659355377,1146.0,55.99268463660888
2016-05-01,2016-03-01,2017-05-01,1317.4395262909898,1157.0,13.866856204925648
