origin,anchor,target,forecast,actual,ape
2005-04-01,2005-02-01,2006-04-01,2605.5378507682644,1863.0,39.85710417435665
2005-05-01,2005-03-01,2006-05-01,1663.546112374161,1953.0,14.820987589648688
2005-06-01,2005-04-01,2006-06-01,2122.819717424614,1841.0,15.307969441858438
2005-07-01,2005-05-01,2006-07-01,2050.6184312940277,1772.0,15.723387770543324
2005-08-01,2005-06-01,2006-08-01,2232.2872668437644,1674.0,33.35049383773981
2005-09-01,2005-07-01,2006-09-01,2109.3321895503977,1740.0,21.22598790519527
2005-10-01,2005-08-01,2006-10-01,1990.4930436019538,1488.0,33.76969379045388
2005-11-01,2005-09-01,2006-11-01,2362.202428047723,1572.0,50.267330028481105
2005-12-01,2005-10-01,2006-12-01,1959.41038586609,1643.0,19.258088001587957
2006-01-01,2005-11-01,2007-01-01,2562.1652856120036,1399.0,83.14262227391019
2006-02-01,2005-12-01,2007-02-01,1804.912610086167,1506.0,19.84811487955956
2006-03-01,2006-01-01,2007-03-01,2383.1498679345864,1491.0,59.835671893667765
2006-04-01,2006-02-01,2007-04-01,2000.5986946162784,1506.0,32.84187879258157
2006-05-01,2006-03-01,2007-05-01,2119.3301286302044,1434.0,47.79150129917743
2006-06-01,2006-04-01,2007-06-01,1612.6238181491572,1470.0,9.702300554364433
2006-07-01,2006-05-01,2007-07-01,1870.8430241488343,1367.0,36.85757309062431
2006-08-01,2006-06-01,2007-08-01,1615.4205790556075,1327.0,21.73478365151526
2006-09-01,2006-07-01,2007-09-01,1519.990633062579,1193.0,27.40910587280629
2006-10-01,2006-08-01,2007-10-01,1287.8829610548466,1232.0,4.535954631075215
2006-11-01,2006-09-01,2007-11-01,1408.0282691951318,1173.0,20.03651058782027
2006-12-01,2006-10-01,2007-12-01,1023.2557320568956,1004.0,1.9179015992923871
2007-01-01,2006-11-01,2008-01-01,1126.7529951641052,1071.0,5.20569516004717
2007-02-01,2006-12-01,2008-02-01,1302.9679874826147,1075.0,21.206324416987414
2007-03-01,2007-01-01,2008-03-01,808.5859262607613,954.0,15.24256538147156
2007-04-01,2007-02-01,2008-04-01,1031.5721156264767,1008.0,2.33850353437269
2007-05-01,2007-03-01,2008-05-01,1118.6582829944023,977.0,14.499312486632782
2007-06-01,2007-04-01,2008-06-01,1245.1996714635868,1084.0,14.87081840069989
2007-07-01,2007-05-01,2008-07-01,1067.2485586388561,954.0,11.870918096316158
2007-08-01,2007-06-01,2008-08-01,1141.4593006216073,872.0,30.901295942844875
2007-09-01,2007-07-01,2008-09-01,1050.4321955321825,828.0,26.86379173093992
2007-10-01,2007-08-01,2008-10-01,1038.8455509495861,771.0,34.74001957841584
2007-11-01,2007-09-01,2008-11-01,775.1715073601385,651.0,19.07396426423019
2007-12-01,2007-10-01,2008-12-01,997.2993187615642,560.0,78.08916406456504
2008-01-01,2007-11-01,2009-01-01,859.7585277924455,477.0,80.24287794390892
2008-02-01,2007-12-01,2009-02-01,573.307592345833,572.0,0.22860006046030987
2008-03-01,2008-01-01,2009-03-01,691.2850438392577,525.0,31.673341683668134
