origin,anchor,target,forecast,actual,ape
2005-04-01,2005-02-01,2006-04-01,1533.7916944858432,1123.0,36.57984812874828
2005-05-01,2005-03-01,2006-05-01,1391.351014817067,1086.0,28.1170363551627
2005-06-01,2005-04-01,2006-06-01,1352.1889332908634,1074.0,25.902135315722845
2005-07-01,2005-05-01,2006-07-01,1340.5664725479198,965.0,38.91880544538029
2005-08-01,2005-06-01,2006-08-01,1393.1720472429515,1035.0,34.60599490270063
2005-09-01,2005-07-01,2006-09-01,1846.9472327948638,1016.0,81.78614496012439
2005-10-01,2005-08-01,2006-10-01,1355.2431730505766,941.0,44.02159118497095
2005-11-01,2005-09-01,2006-11-01,1279.9382649705185,1003.0,27.61099351650234
2005-12-01,2005-10-01,2006-12-01,1373.098614769793,998.0,37.58503154005941
2006-01-01,2005-11-01,2007-01-01,1256.148686779101,891.0,40.98189526140302
2006-02-01,2005-12-01,2007-02-01,1235.5091573855034,828.0,49.2160818098434
2006-03-01,2006-01-01,2007-03-01,1141.049043905719,833.0,36.98067753970215
2006-04-01,2006-02-01,2007-04-01,823.0591935091478,887.0,7.208659130873979
2006-05-01,2006-03-01,2007-05-01,911.0481574042027,842.0,8.200493753468253
2006-06-01,2006-04-01,2007-06-01,981.877185970675,793.0,23.818056238420553
2006-07-01,2006-05-01,2007-07-01,891.627575202219,778.0,14.605086786917603
2006-08-01,2006-06-01,2007-08-01,879.9910941717158,699.0,25.892860396525858
2006-09-01,2006-07-01,2007-09-01,630.942659731594,686.0,8.025851351079599
2006-10-01,2006-08-01,2007-10-01,826.5828896488612,727.0,13.697783995716806
2006-11-01,2006-09-01,2007-11-01,802.2552912260206,641.0,25.1568317045274
2006-12-01,2006-10-01,2007-12-01,625.1774665985996,619.0,0.9979752178674649
2007-01-01,2006-11-01,2008-01-01,802.7190203816326,627.0,28.02536210233375
2007-02-01,2006-12-01,2008-02-01,775.4128289988497,593.0,30.761016694578363
2007-03-01,2007-01-01,2008-03-01,645.8359940696618,535.0,20.717008237319952
2007-04-01,2007-02-01,2008-04-01,620.0086974701568,536.0,15.673264453387462
2007-05-01,2007-03-01,2008-05-01,592.1830093916143,504.0,17.496628847542517
2007-06-01,2007-04-01,2008-06-01,673.5835317239029,487.0,38.312840189713114
2007-07-01,2007-05-01,2008-07-01,625.7123622508805,477.0,31.176595859723367
2007-08-01,2007-06-01,2008-08-01,556.6560210115944,435.0,27.966901381975717
2007-09-01,2007-07-01,2008-09-01,605.1187284551798,433.0,39.75028370789373
2007-10-01,2007-08-01,2008-10-01,442.18445684022817,393.0,12.515128966979178
2007-11-01,2007-09-01,2008-11-01,433.8366701657378,389.0,11.526136289392754
