origin,anchor,target,forecast,actual,ape
2005-04-01,2005-02-01,2006-04-01,1301.2151340971698,1180.0,10.272468991285573
2005-05-01,2005-03-01,2006-05-01,1644.8066961315865,1166.0,41.06403911934704
2005-06-01,2005-04-01,2006-06-01,1521.6471048695373,1120.0,35.86134864906583
2005-07-01,2005-05-01,2006-07-01,1365.2499949176074,1009.0,35.30723438231986
2005-08-01,2005-06-01,2006-08-01,1601.3503762828382,1021.0,56.84136888176672
2005-09-01,2005-07-01,2006-09-01,1875.7609561078214,1037.0,80.88340946073494
2005-10-01,2005-08-01,2006-10-01,1326.6431011724735,1013.0,30.961806631043782
2005-11-01,2005-09-01,2006-11-01,1220.8343667196507,1069.0,14.203401938227382
2005-12-01,2005-10-01,2006-12-01,1575.2081025426965,1123.0,40.26786309373966
2006-01-01,2005-11-01,2007-01-01,1331.9545846879478,882.0,51.01525903491472
2006-02-01,2005-12-01,2007-02-01,1295.1577008286665,836.0,54.92316995558212
2006-03-01,2006-01-01,2007-03-01,1280.1129312720211,844.0,51.6721482549788
2006-04-01,2006-02-01,2007-04-01,913.2169025513822,930.0,1.8046341342599796
2006-05-01,2006-03-01,2007-05-01,1111.8432138721143,893.0,24.506518910651103
2006-06-01,2006-04-01,2007-06-01,1119.142610108679,846.0,32.28636053294078
2006-07-01,2006-05-01,2007-07-01,1149.8637222575242,867.0,32.625573501444535
2006-08-01,2006-06-01,2007-08-01,986.1296436271401,735.0,34.16729845267212
2006-09-01,2006-07-01,2007-09-01,807.2823076393378,716.0,12.748925647952202
2006-10-01,2006-08-01,2007-10-01,840.2470679545514,711.0,18.17820927630822
2006-11-01,2006-09-01,2007-11-01,899.032564797197,634.0,41.80324365886388
2006-12-01,2006-10-01,2007-12-01,713.1876398643633,605.0,17.882254523035254
2007-01-01,2006-11-01,2008-01-01,862.7062170265758,601.0,43.545127625054214
2007-02-01,2006-12-01,2008-02-01,977.1075386400164,575.0,69.93174585043764
2007-03-01,2007-01-01,2008-03-01,720.9770370943355,509.0,41.64578331912289
2007-04-01,2007-02-01,2008-04-01,669.8240972758422,525.0,27.585542338255653
2007-05-01,2007-03-01,2008-05-01,628.081366127657,533.0,17.838905464851223
2007-06-01,2007-04-01,2008-06-01,861.076593067031,503.0,71.18818947654692
2007-07-01,2007-05-01,2008-07-01,748.4185945200837,520.0,43.92665279232379
2007-08-01,2007-06-01,2008-08-01,621.5748503581458,452.0,37.51655981374907
2007-09-01,2007-07-01,2008-09-01,767.2095039766544,457.0,67.87954135156552
2007-10-01,2007-08-01,2008-10-01,601.9897335974136,419.0,43.67296744568345
2007-11-01,2007-09-01,2008-11-01,564.9897551720106,388.0,45.61591628144604
2007-12-01,2007-10-01,2008-12-01,532.3634310452798,344.0,54.756811350372026
2008-01-01,2007-11-01,2009-01-01,395.29616104038945,322.0,22.762782931797965
2008-02-01,2007-12-01,2009-02-01,328.1281467621774,358.0,8.344093083190677
2008-03-01,2008-01-01,2009-03-01,362.5455109755804,351.0,3.289319366262218
2008-04-01,2008-02-01,2009-04-01,390.7090984976312,344.0,13.57822630745093
2008-05-01,2008-03-01,2009-05-01,308.9427475360773,346.0,10.710188573388058
2008-06-01,2008-04-01,2009-06-01,278.5654671959376,395.0,29.47709691242087
2008-07-01,2008-05-01,2009-07-01,280.7203886888952,426.0,34.103195143451835
2008-08-01,2008-06-01,2009-08-01,331.21678114726353,417.0,20.571515312406827
