origin,anchor,target,forecast,actual,ape
2005-04-01,2005-02-01,2006-04-01,2300.8061559835546,1998.0,15.155463262440172
2005-05-01,2005-03-01,2006-05-01,2057.343120383774,1905.0,7.997014193373965
2005-06-01,2005-04-01,2006-06-01,2247.249332583799,1867.0,20.366863020021377
2005-07-01,2005-05-01,2006-07-01,2011.6461571571954,1763.0,14.10358236853065
2005-08-01,2005-06-01,2006-08-01,2378.019796590231,1722.0,38.09638772300994
2005-09-01,2005-07-01,2006-09-01,2314.1340416092526,1655.0,39.82683030871617
2005-10-01,2005-08-01,2006-10-01,2425.570262087784,1570.0,54.49492115208816
2005-11-01,2005-09-01,2006-11-01,2552.6995083608103,1535.0,66.29964223848927
2005-12-01,2005-10-01,2006-12-01,2258.3846907344832,1638.0,37.87452324386344
2006-01-01,2005-11-01,2007-01-01,2391.95554007192,1626.0,47.1067367817909
2006-02-01,2005-12-01,2007-02-01,2165.21080650315,1598.0,35.4950442117115
2006-03-01,2006-01-01,2007-03-01,2300.321385838322,1596.0,44.130412646511395
2006-04-01,2006-02-01,2007-04-01,2172.936152807517,1470.0,47.81878590527326
2006-05-01,2006-03-01,2007-05-01,2185.258407144809,1493.0,46.3669395274487
2006-06-01,2006-04-01,2007-06-01,1834.1943241103447,1407.0,30.36206994387667
2006-07-01,2006-05-01,2007-07-01,1714.5443396128096,1361.0,25.976806731286523
2006-08-01,2006-06-01,2007-08-01,1559.834425221428,1321.0,18.07982022872279
2006-09-01,2006-07-01,2007-09-01,1359.449554223392,1261.0,7.807260445947022
2006-10-01,2006-08-01,2007-10-01,1281.017215246493,1192.0,7.4678871851084665
2006-11-01,2006-09-01,2007-11-01,1148.8509374558719,1224.0,6.139629292820926
2006-12-01,2006-10-01,2007-12-01,1076.2493216501382,1149.0,6.33165172757718
2007-01-01,2006-11-01,2008-01-01,999.1093520312061,1094.0,8.673733817988476
2007-02-01,2006-12-01,2008-02-01,1212.3321060067874,1014.0,19.559379290610195
2007-03-01,2007-01-01,2008-03-01,1135.4774915153653,967.0,17.42269819186818
2007-04-01,2007-02-01,2008-04-01,1135.9613816598478,1008.0,12.69458151387379
2007-05-01,2007-03-01,2008-05-01,1147.2488740411575,995.0,15.301394375995727
2007-06-01,2007-04-01,2008-06-01,1027.6048864503944,1180.0,12.91484013132251
2007-07-01,2007-05-01,2008-07-01,1123.5319837535826,921.0,21.990443404297785
2007-08-01,2007-06-01,2008-08-01,1011.5068778943423,858.0,17.891244509830106
2007-09-01,2007-07-01,2008-09-01,1006.3095022084207,797.0,26.262170916991302
2007-10-01,2007-08-01,2008-10-01,969.581007658981,736.0,31.736549953665893
2007-11-01,2007-09-01,2008-11-01,918.2304483190887,626.0,46.682180242665936
2007-12-01,2007-10-01,2008-12-01,864.4017263433666,554.0,56.02919248075209
2008-01-01,2007-11-01,2009-01-01,939.8674925593206,545.0,72.4527509283157
2008-02-01,2007-12-01,2009-02-01,759.732167656278,558.0,36.152718217970964
2008-03-01,2008-01-01,2009-03-01,689.0174688896066,513.0,34.311397444367756
2008-04-01,2008-02-01,2009-04-01,596.4526855533255,521.0,14.482281296223709
2008-05-01,2008-03-01,2009-05-01,538.9547770457007,556.0,3.0656875817085134
2008-06-01,2008-04-01,2009-06-01,649.0740739017273,601.0,7.999013960353955
2008-07-01,2008-05-01,2009-07-01,619.7457624527467,595.0,4.158951672730538
2008-08-01,2008-06-01,2009-08-01,961.0247418006545,616.0,56.01051003257378
2008-09-01,2008-07-01,2009-09-01,583.9756239389053,609.0,4.109092949276634
2008-10-01,2008-08-01,2009-10-01,518.6039692983297,583.0,11.045631338193871
2008-11-01,2008-09-01,2009-11-01,466.65088667067187,623.0,25.09616586345556
2008-12-01,2008-10-01,2009-12-01,419.3528830073188,664.0,36.844445330223074
2009-01-01,2008-11-01,2010-01-01,286.3075064153937,636.0,54.98309647556703
2009-02-01,2008-12-01,2010-02-01,236.53629509651287,650.0,63.60980075438264
2009-03-01,2009-01-01,2010-03-01,241.73463500932363,687.0,64.81300800446526
2009-04-01,2009-02-01,2010-04-01,277.96907606207003,637.0,56.362782407838296
2009-05-01,2009-03-01,2010-05-01,244.86313452076547,575.0,57.415107039866875
2009-06-01,2009-04-01,2010-06-01,241.23729293561775,587.0,58.90335725117245
2009-07-01,2009-05-01,2010-07-01,281.96927493131415,579.0,51.30064336246733
2009-08-01,2009-06-01,2010-08-01,273.54724644500203,580.0,52.83668164741344
2009-09-01,2009-07-01,2010-09-01,357.3966882250749,563.0,36.519238325919204
