origin,anchor,target,forecast,actual,ape
2005-04-01,2005-02-01,2006-04-01,2297.9619587781754,1973.0,16.470449000414362
2005-05-01,2005-03-01,2006-05-01,2032.0225396272035,1946.0,4.4204799397329655
2005-06-01,2005-04-01,2006-06-01,2243.9871266201376,1869.0,20.063516673094576
2005-07-01,2005-05-01,2006-07-01,1986.493555048754,1763.0,12.676889112237886
2005-08-01,2005-06-01,2006-08-01,2278.4327972189085,1727.0,31.930098275559267
2005-09-01,2005-07-01,2006-09-01,2239.445360420792,1638.0,36.718275971965326
2005-10-01,2005-08-01,2006-10-01,2235.2722148274734,1553.0,43.93253154072591
2005-11-01,2005-09-01,2006-11-01,2449.1801152217504,1513.0,61.87575117129877
2005-12-01,2005-10-01,2006-12-01,2114.7270691528565,1613.0,31.105211974758618
2006-01-01,2005-11-01,2007-01-01,2247.631063859543,1571.0,43.07008681473856
2006-02-01,2005-12-01,2007-02-01,2068.0218609838803,1532.0,34.98837212688514
2006-03-01,2006-01-01,2007-03-01,2313.128085275226,1569.0,47.426901547178204
2006-04-01,2006-02-01,2007-04-01,2283.8096260670573,1457.0,56.74740055367585
2006-05-01,2006-03-01,2007-05-01,2182.505943860741,1520.0,43.58591735925927
2006-06-01,2006-04-01,2007-06-01,1759.0324483456134,1413.0,24.48920370457278
2006-07-01,2006-05-01,2007-07-01,1769.7280684598547,1389.0,27.410228110860675
2006-08-01,2006-06-01,2007-08-01,1555.1237322422144,1322.0,17.634170366279452
2006-09-01,2006-07-01,2007-09-01,1357.2929204897584,1261.0,7.63623477317672
2006-10-01,2006-08-01,2007-10-01,1298.6437766074569,1170.0,10.99519458183392
2006-11-01,2006-09-01,2007-11-01,1136.9047728327937,1162.0,2.1596581038903877
2006-12-01,2006-10-01,2007-12-01,1073.6369823882785,1080.0,0.5891682973816194
2007-01-01,2006-11-01,2008-01-01,982.279099824497,1061.0,7.419500487794811
2007-02-01,2006-12-01,2008-02-01,1181.0433477892711,984.0,20.024730466389343
2007-03-01,2007-01-01,2008-03-01,1063.4280763171168,932.0,14.101724926729275
2007-04-01,2007-02-01,2008-04-01,1033.3718012474883,982.0,5.231344322554816
2007-05-01,2007-03-01,2008-05-01,1118.2937208625012,978.0,14.344961233384584
2007-06-01,2007-04-01,2008-06-01,1014.5298989526406,1138.0,10.849745258994679
2007-07-01,2007-05-01,2008-07-01,1158.7891066454495,937.0,23.670128777529293
2007-08-01,2007-06-01,2008-08-01,1013.2737079553515,857.0,18.234971756750465
2007-09-01,2007-07-01,2008-09-01,1044.1005255206176,805.0,29.70192863610156
2007-10-01,2007-08-01,2008-10-01,965.283554000676,730.0,32.23062383570904
2007-11-01,2007-09-01,2008-11-01,918.8781646558195,615.0,49.411083683873095
2007-12-01,2007-10-01,2008-12-01,836.4192171048119,547.0,52.91027735005701
2008-01-01,2007-11-01,2009-01-01,844.8917463348536,531.0,59.11332322690275
2008-02-01,2007-12-01,2009-02-01,669.0953364859843,564.0,18.633924908862458
2008-03-01,2008-01-01,2009-03-01,673.6892454003086,511.0,31.837425714346097
2008-04-01,2008-02-01,2009-04-01,583.0685741932363,498.0,17.08204301069001
2008-05-01,2008-03-01,2009-05-01,502.8755427255942,518.0,2.9197793966034387
2008-06-01,2008-04-01,2009-06-01,604.2236816908209,570.0,6.0041546826001495
2008-07-01,2008-05-01,2009-07-01,583.7816291715128,564.0,3.5073810587788663
2008-08-01,2008-06-01,2009-08-01,869.6697130147116,580.0,49.94305396805373
2008-09-01,2008-07-01,2009-09-01,593.4425447160219,575.0,3.207399081047282
2008-10-01,2008-08-01,2009-10-01,507.4225530034986,551.0,7.908792558348712
2008-11-01,2008-09-01,2009-11-01,469.8959414568404,589.0,20.2214021295687
2008-12-01,2008-10-01,2009-12-01,416.05026946254867,653.0,36.286329331922104
2009-01-01,2008-11-01,2010-01-01,285.564080272795,622.0,54.08937616193006
2009-02-01,2008-12-01,2010-02-01,239.316589430204,637.0,62.43067669855511
2009-03-01,2009-01-01,2010-03-01,239.15883684758637,685.0,65.08630119013338
2009-04-01,2009-02-01,2010-04-01,295.6815435422002,610.0,51.52761581275407
2009-05-01,2009-03-01,2010-05-01,258.8744102043221,574.0,54.89992853583239
2009-06-01,2009-04-01,2010-06-01,223.14011149640538,583.0,61.72553833680868
2009-07-01,2009-05-01,2010-07-01,246.78522152137575,559.0,55.85237539868054
2009-08-01,2009-06-01,2010-08-01,245.34812360472336,571.0,57.03185225836719
2009-09-01,2009-07-01,2010-09-01,317.0692258135984,547.0,42.03487645089609
2009-10-01,2009-08-01,2010-10-01,367.8039258458339,552.0,33.36885401343589
2009-11-01,2009-09-01,2010-11-01,387.75384653005165,544.0,28.72171938785815
2009-12-01,2009-10-01,2010-12-01,397.47792547437314,627.0,36.606391471391845
2010-01-01,2009-11-01,2011-01-01,544.526680929836,563.0,3.28122896450516
2010-02-01,2009-12-01,2011-02-01,774.7345748939756,534.0,45.08138106628757
2010-03-01,2010-01-01,2011-03-01,748.0584945243087,574.0,30.323779533851685
2010-04-01,2010-02-01,2011-04-01,756.0414951784369,563.0,34.288009800788075
2010-05-01,2010-03-01,2011-05-01,949.0263277013644,609.0,55.83355134669365
2010-06-01,2010-04-01,2011-06-01,729.9548618293389,617.0,18.30710888644067
2010-07-01,2010-05-01,2011-07-01,603.3268164653572,601.0,0.38715748175660286
2010-08-01,2010-06-01,2011-08-01,563.7744758448629,625.0,9.79608386482194
2010-09-01,2010-07-01,2011-09-01,528.0168707479428,589.0,10.353672198991038
2010-10-01,2010-08-01,2011-10-01,528.6400881067871,644.0,17.913029797082753
2010-11-01,2010-09-01,2011-11-01,486.32276916478946,680.0,28.481945711060376
2010-12-01,2010-10-01,2011-12-01,525.2609374279207,671.0,21.71968145634565
2011-01-01,2010-11-01,2012-01-01,466.14827611341536,682.0,31.649812886595992
